date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:37:36	139717/139717	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Apr%202020%2012:07:36%20GMT	https://norebro.clbthemes.com/demo14/barbers/	norebro.clbthemes.com/demo14/barbers/index.html	(from https://norebro.clbthemes.com/demo14/)
17:37:36	138034/138034	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Apr%202020%2012:07:36%20GMT	https://norebro.clbthemes.com/demo14/contact/	norebro.clbthemes.com/demo14/contact/index.html	(from https://norebro.clbthemes.com/demo14/)
17:37:36	140447/140447	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Apr%202020%2012:07:36%20GMT	https://norebro.clbthemes.com/demo14/category/business/	norebro.clbthemes.com/demo14/category/business/index.html	(from https://norebro.clbthemes.com/demo14/)
17:37:36	147885/147885	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Apr%202020%2012:07:36%20GMT	https://norebro.clbthemes.com/demo14/2017/09/27/misses-about-bette-davis-joan-crawford/	norebro.clbthemes.com/demo14/2017/09/27/misses-about-bette-davis-joan-crawford/index.html	(from https://norebro.clbthemes.com/demo14/)
17:37:37	37396/37396	---M--	200	added ('OK')	text/css	etag:%229214-5892cf0a7262d%22	https://norebro.clbthemes.com/demo14/wp-content/themes/norebro/assets/fonts/FontAwesome/style.css?ver=5.3.2	norebro.clbthemes.com/demo14/wp-content/themes/norebro/assets/fonts/FontAwesome/style9dff.css	(from https://norebro.clbthemes.com/demo14/)
17:37:38	14440/14440	---M--	200	added ('OK')	application/javascript	etag:%223868-5a1963804186e%22	https://norebro.clbthemes.com/demo14/wp-content/plugins/contact-form-7/includes/js/scripts.js?ver=5.1.7	norebro.clbthemes.com/demo14/wp-content/plugins/contact-form-7/includes/js/scripts6725.js	(from https://norebro.clbthemes.com/demo14/)
17:37:38	148406/148406	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Apr%202020%2012:07:38%20GMT	https://norebro.clbthemes.com/demo14/2017/09/27/new-art-venue-opens-in-downtown-cf/	norebro.clbthemes.com/demo14/2017/09/27/new-art-venue-opens-in-downtown-cf/index.html	(from https://norebro.clbthemes.com/demo14/)
17:37:39	148472/148472	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Apr%202020%2012:07:38%20GMT	https://norebro.clbthemes.com/demo14/2017/09/27/norebro-is-a-creative-wordpress-theme/	norebro.clbthemes.com/demo14/2017/09/27/norebro-is-a-creative-wordpress-theme/index.html	(from https://norebro.clbthemes.com/demo14/)
17:37:39	7854/7854	---M--	200	added ('OK')	application/javascript	etag:%221eae-5892cf06eb14d%22	https://norebro.clbthemes.com/demo14/wp-content/themes/norebro/assets/js/woocommerce-hack.js?ver=5.3.2	norebro.clbthemes.com/demo14/wp-content/themes/norebro/assets/js/woocommerce-hack9dff.js	(from https://norebro.clbthemes.com/demo14/)
17:37:40	1399/1399	---M--	200	added ('OK')	application/javascript	etag:%22577-59d5aba908a09%22	https://norebro.clbthemes.com/demo14/wp-includes/js/wp-embed.min.js?ver=5.3.2	norebro.clbthemes.com/demo14/wp-includes/js/wp-embed.min9dff.js	(from https://norebro.clbthemes.com/demo14/)
